"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.451085917E0,-3.937155417E-1,-4.327245100E-1,4.738285357E-1,7.528452102E-1
1.461079917E0,-2.713919364E-1,-6.668195428E-1,-1.921395063E-3,7.199344259E-1
1.471072917E0,1.512950239E-1,-8.525933316E-1,-9.155722296E-1,1.260189700E0
1.481066917E0,1.001465050E-1,-7.518298723E-1,-8.822623962E-1,1.163470848E0
1.491059917E0,-2.099420853E-2,-4.298346698E-1,-7.553479958E-1,8.693383662E-1
1.501053917E0,-8.527345419E-2,1.861845557E-1,6.866151452E-2,2.159876255E-1
1.511047917E0,-6.557693285E-1,8.442389761E-1,7.079709309E-1,1.282183957E0
1.521040917E0,-1.007769957E0,1.047787423E0,5.293402469E-1,1.547145716E0
1.531034917E0,-9.908607591E-1,7.761341165E-1,2.065657568E-1,1.275483682E0
1.541027917E0,-7.391327897E-1,3.640301049E-1,-1.735447758E-1,8.419934603E-1
1.551021917E0,-1.256250894E-1,-1.544751053E-1,-7.624020767E-1,7.879728091E-1
1.561015917E0,2.811381485E-1,-7.198042336E-1,-1.280406327E0,1.495525712E0
1.571008917E0,3.526251838E-1,-1.128193071E0,-1.597710162E0,1.987420913E0
1.581002917E0,3.700111121E-1,-1.144508264E0,-1.656628461E0,2.047248213E0
1.590995917E0,4.657353679E-1,-7.529208165E-1,-1.583164628E0,1.813893445E0
1.600989917E0,2.917121437E-1,-5.955067545E-2,-1.196673614E0,1.233154490E0
1.610982917E0,-1.947339890E-1,5.658568396E-1,-5.994197112E-1,8.470060682E-1
1.620976917E0,-6.249580103E-1,9.162857361E-1,1.029560190E-1,1.113890482E0
1.630970917E0,-9.097624362E-1,1.021790556E0,7.489213210E-1,1.559681627E0
1.640963917E0,-9.147391476E-1,8.704577449E-1,8.663287336E-1,1.531329445E0
1.650957917E0,-4.257525093E-1,4.868616870E-1,4.188728946E-1,7.705543481E-1
1.660950917E0,1.652252112E-1,-3.794419035E-2,-1.486064011E-1,2.254395583E-1
1.670944917E0,6.495943033E-1,-4.680530946E-1,-9.533411497E-1,1.244952130E0
1.680937917E0,9.028115585E-1,-7.012200281E-1,-1.643771603E0,2.002189632E0
1.690931917E0,8.646552604E-1,-6.806944008E-1,-1.712354180E0,2.035468110E0
1.700925917E0,7.914593033E-1,-3.502360846E-1,-1.494452426E0,1.726980370E0
1.710918917E0,5.255815105E-1,6.091409996E-2,-1.208739928E0,1.319469085E0
1.720912917E0,5.279948026E-2,3.589333794E-1,-8.009866834E-1,8.793182717E-1
1.730905917E0,-4.104966120E-1,6.096675414E-1,-8.842101038E-2,7.402839013E-1
1.740899917E0,-7.621955969E-1,9.072261333E-1,7.368316180E-1,1.395321546E0
1.750892917E0,-7.550654291E-1,9.660520463E-1,6.707329381E-1,1.397591869E0
1.760886917E0,-2.569492406E-1,6.150339697E-1,-3.726898313E-2,6.675916965E-1
1.770880917E0,3.070508887E-1,9.633580148E-3,-8.273687357E-1,8.825599577E-1
1.780873917E0,8.251628736E-1,-6.900209291E-1,-1.907877470E0,2.190209828E0
1.790867917E0,1.068142604E0,-9.742459689E-1,-2.400698347E0,2.802398327E0
1.800860917E0,7.392449831E-1,-8.536923889E-1,-2.118641528E0,2.400815645E0
1.810854917E0,3.289797746E-1,-4.136005334E-1,-1.745290377E0,1.823549174E0
1.820847917E0,8.847831309E-2,1.099054348E-1,-1.393066385E0,1.400193404E0
1.830841917E0,-1.887913907E-1,3.356479394E-1,-1.180221303E0,1.241460452E0
1.840835917E0,-3.398618450E-1,2.945601397E-1,-1.124910151E0,1.211484461E0
1.850828917E0,-5.020870326E-1,2.934000521E-1,-9.240787590E-1,1.091831732E0
1.860822917E0,-3.970518167E-1,3.159304704E-1,-8.908601421E-1,1.025228755E0
1.870815917E0,-8.168786846E-2,2.725186948E-1,-1.078249955E0,1.115151251E0
1.880809917E0,3.012503046E-1,-9.396544989E-2,-1.882885301E0,1.909145963E0
1.890802917E0,8.199378017E-1,-5.636977552E-1,-2.689266041E0,2.867438752E0
1.900796917E0,8.421214069E-1,-8.336172165E-1,-2.742150598E0,2.987218779E0
1.910790917E0,6.080871121E-1,-7.762805162E-1,-2.651797083E0,2.829206451E0
1.920783917E0,2.995149241E-1,-4.210424309E-1,-2.357731837E0,2.413687083E0
1.930777917E0,-1.833924372E-2,5.197349709E-2,-1.886476076E0,1.887280996E0
1.940770917E0,6.761983305E-2,5.232728105E-1,-1.954325413E0,2.024296098E0
1.950764917E0,4.780274578E-1,6.806387061E-1,-2.351605124E0,2.494358827E0
1.960757917E0,6.884831844E-1,5.139718273E-1,-2.816138341E0,2.944284513E0
1.970751917E0,8.669125050E-1,4.074225846E-1,-3.047452438E0,3.194447811E0
1.980745917E0,7.747799014E-1,3.077548935E-1,-3.307114422E0,3.410572205E0
1.990738917E0,4.942429928E-1,2.833823282E-1,-3.490514680E0,3.536703890E0
2.000732917E0,3.949142574E-1,9.625020373E-2,-3.394978777E0,3.419225390E0
2.010725917E0,4.363788005E-1,-1.452881427E-1,-3.368606665E0,3.399859698E0
2.020719917E0,4.647702485E-1,-2.793550767E-1,-3.501091708E0,3.542836969E0
2.030712917E0,5.047900907E-1,-3.225676083E-1,-3.399961190E0,3.452332398E0
2.040706917E0,5.572089903E-1,-1.839149955E-1,-3.164844064E0,3.218779976E0
2.050700917E0,4.762553860E-1,-3.419311929E-2,-2.860981808E0,2.900552579E0
2.060693917E0,4.492325885E-1,1.462511609E-1,-2.607759948E0,2.650209665E0
2.070687917E0,3.716643027E-1,1.316335420E-1,-2.293444625E0,2.327090456E0
2.080680917E0,2.140944855E-1,-6.882901898E-2,-2.012702844E0,2.025227548E0
2.090674917E0,1.991996903E-1,-2.582624705E-1,-1.954143564E0,1.981175684E0
2.100667917E0,4.446288563E-2,-3.888857050E-1,-2.138726129E0,2.174248949E0
2.110661917E0,-5.952524006E-2,-4.344651530E-1,-2.422890285E0,2.462255177E0
2.120655917E0,-1.423514518E-1,-3.983953242E-1,-2.456527562E0,2.492691404E0
2.130648917E0,-1.673256773E-1,-3.148598452E-1,-2.196232325E0,2.224987872E0
2.140642917E0,-4.756011922E-2,-3.070212141E-1,-2.015289652E0,2.039096951E0
2.150635917E0,-3.975152817E-2,-2.604650618E-1,-1.808741437E0,1.827831453E0
2.160629917E0,-8.005539894E-2,-2.789131368E-1,-1.508086379E0,1.535749306E0
2.170622917E0,-3.952345021E-2,-2.554968288E-1,-1.347264560E0,1.371846393E0
2.180616917E0,6.322122853E-2,-8.522642065E-2,-1.502571870E0,1.506314274E0
2.190610917E0,9.572337873E-2,1.369591495E-1,-1.434216750E0,1.443917747E0
2.200603292E0,2.598798651E-2,3.131707308E-1,-1.163774840E0,1.205455582E0
2.210597292E0,-3.354149278E-2,3.438448221E-1,-8.832260174E-1,9.483894196E-1
2.220590292E0,1.775651751E-1,3.084921908E-1,-9.018827283E-1,9.695820125E-1
2.230584292E0,4.547931809E-1,3.202700911E-1,-9.310661817E-1,1.084570884E0
2.240577292E0,6.047135976E-1,4.676874609E-1,-8.144487280E-1,1.117021408E0
2.250571292E0,5.655938976E-1,7.212077115E-1,-5.064291018E-1,1.047142519E0
2.260565292E0,4.111479188E-1,8.443954622E-1,-1.245690823E-1,9.473984188E-1
2.270558292E0,3.526430178E-1,7.793857531E-1,1.570649832E-1,8.697520676E-1
2.280552292E0,3.232695300E-1,5.933360488E-1,2.901049268E-1,7.353310305E-1
2.290545292E0,3.694299354E-1,4.350534194E-1,3.144819689E-1,6.516508756E-1
2.300539292E0,3.867902456E-1,2.889879625E-1,2.669727570E-1,5.517202095E-1
2.310532292E0,3.392215383E-1,2.653103936E-1,2.190600872E-1,4.831647533E-1
2.320526292E0,2.820974573E-1,3.358316150E-1,3.618157643E-1,5.685705729E-1
2.330519292E0,1.275886210E-1,2.465976224E-1,5.541230857E-1,6.197916083E-1
2.340513292E0,8.503569178E-3,1.239376195E-1,5.132492942E-1,5.280697702E-1
2.350507292E0,1.995183270E-2,7.044835053E-2,3.359699017E-1,3.438558136E-1
2.360500292E0,5.211769491E-2,9.027180031E-2,2.146238047E-1,2.385972120E-1
2.370494292E0,1.035020759E-1,1.300618105E-1,1.749445993E-1,2.413179792E-1
2.380487292E0,2.221052440E-1,3.100052309E-1,1.859724480E-1,4.242873249E-1
2.390481292E0,3.045780646E-1,5.355373819E-1,1.717420793E-1,6.395806647E-1
2.400474292E0,3.101821823E-1,6.219662824E-1,1.939579904E-1,7.215779547E-1
2.410468292E0,2.515211607E-1,5.322716023E-1,1.723197842E-1,6.134085595E-1
2.420462292E0,9.471192006E-2,2.866869552E-1,1.016608608E-1,3.185823107E-1
2.430455292E0,-8.726483312E-2,6.541219851E-2,1.858724606E-1,2.155051703E-1
2.440449292E0,-3.028207571E-1,-1.494914137E-1,3.093966454E-1,4.580113294E-1
2.450442292E0,-4.681005667E-1,-2.807641277E-1,3.921727538E-1,6.721206028E-1
2.460436292E0,-4.192970005E-1,-3.273624348E-1,3.957477415E-1,6.630176568E-1
2.470429292E0,-1.347257324E-1,-2.062339639E-1,2.760838884E-1,3.700078165E-1
2.480423292E0,-1.197783854E-2,-2.034513105E-2,2.337623262E-1,2.349515230E-1
2.490417292E0,-3.757742375E-2,1.756604446E-1,2.409345210E-2,1.812433420E-1
2.500410292E0,-8.783954132E-2,3.028287787E-1,-2.459637111E-1,3.998989890E-1
2.510404292E0,-1.241097835E-1,3.247135730E-1,-4.689075190E-1,5.837091778E-1
2.520397292E0,-1.136034333E-1,2.551289110E-1,-6.257006067E-1,6.851990591E-1
2.530391292E0,-1.118702820E-1,1.246389199E-1,-7.388155782E-1,7.575607428E-1
2.540384292E0,-8.212717708E-2,-3.686888739E-3,-7.553175902E-1,7.597783417E-1
2.550378292E0,-2.587802231E-2,-1.482465963E-1,-6.915560424E-1,7.077404080E-1
2.560372292E0,-4.351527125E-2,-1.949557081E-1,-5.512585348E-1,5.863337609E-1
2.570365292E0,-9.296736673E-2,-1.195603939E-1,-3.980708402E-1,4.259084560E-1
2.580359292E0,-1.468595089E-1,-2.441177817E-2,-1.598769093E-1,2.184588665E-1
2.590352292E0,-1.863339521E-1,-4.875938315E-3,5.191859722E-2,1.934933002E-1
2.600346292E0,-1.284500986E-1,-5.482762355E-2,2.067733330E-1,2.495209557E-1
2.610339292E0,-2.060785376E-2,-1.092526663E-2,2.852125615E-1,2.861647258E-1
2.620333292E0,3.305379845E-2,6.120346405E-2,2.693601751E-1,2.781965520E-1
2.630327292E0,1.264961418E-1,8.759034030E-2,2.121609575E-1,2.620794030E-1
2.640320292E0,1.674375601E-1,1.315021807E-1,9.899277627E-2,2.347929509E-1
2.650314292E0,1.163038419E-1,1.479606675E-1,3.804549336E-2,1.920062560E-1
2.660307292E0,9.888968255E-2,3.322846575E-2,-4.483820379E-2,1.135507145E-1
